TOT_POP,High school diploma only 2014-18,Unemployed_2018,Civilian_labor_force_2018,Employed_2018,Some college or associate's degree 2014-18,POVALL_2018,Family Medicine/General Practice Primary Care (2019),Less than a high school diploma 2014-18,Total nurse practitioners (2019),diabetes_number
0.003821015038449626,0.006358778566673279,0.004373949772546273,0.0033224040226301176,0.0032708997751869084,0.006011333583503091,0.00522156895444433,0.00472849650864608,0.0023187290598981045,0.0038218797326754826,0.00410574552358231
0.004650074267002988,0.00798889066953201,0.0037526737800682984,0.003843008086885197,0.0038474326214252104,0.006497712733640684,0.0059815989014693205,0.004691324199534646,0.0028643526385041837,0.005424733797970051,0.006273075129892768
0.0009042663201862762,0.0017430691996354309,0.000775552581214115,0.0007828530076176796,0.0007832105792858262,0.0012061756191701512,0.0009523437804925647,0.0012411328067061561,0.0005093399529271301,0.0009124293759741771,0.0010658137356613926
0.0015200738612805194,0.0019061510081067894,0.0014968998744939101,0.0011204474157771066,0.0011020089402415433,0.0017132161109324185,0.002426276740316005,0.001316399276551517,0.0009830808768862352,0.0014915514389769887,0.0017231530445520641
0.002198422036469502,0.0033816530847524152,0.0013009269104236768,0.002073460465339042,0.002111298818424217,0.001803120867731675,0.002636331702332249,0.002557681587585929,0.0006394133280026069,0.003152676766633262,0.001814508507608755
0.013007363368011058,0.01665481793786936,0.009919567691980536,0.013772644767938888,0.013961366785172792,0.01572272256173832,0.005940439483236407,0.014397348790331495,0.004167824776102645,0.021926380889141357,0.011539140040574426
0.0008102574556451334,0.0015870472097126158,0.0007588740310804781,0.0009551546519205014,0.000964768390233701,0.001135815374718559,0.00047333330967849524,0.001324047378793994,0.0003922739153592011,0.0010722452700487964,0.0007528950231223827
0.0023010401338686235,0.005063301863015517,0.0020139349286366535,0.002119018188239449,0.002124165119987452,0.002719479289517887,0.0028612892123293745,0.0036145446419297953,0.0013075797178640036,0.00261454763826117,0.002625156984387666
0.0010569565075409953,0.0018637920968155273,0.0005795796171438817,0.001023685927394618,0.0010454380587650964,0.0014569037918587613,0.0009346026519438954,0.0012064882472937982,0.0007872862175620964,0.0014312921797807118,0.001372432071437872
0.0013149366231817942,0.0019195646633490223,0.0009423380825504838,0.001329740373546071,0.001348715167041355,0.0020292787963260782,0.0011120139374305878,0.002234339138316551,0.0004716871338263343,0.0016750877663866245,0.0011865709569432253
0.0157691458948308,0.022802507929941183,0.013201072430773593,0.01583968042620223,0.015968918283055366,0.020080031985990492,0.012105836476469942,0.013609334051165555,0.00636538021816728,0.02612303192717554,0.014026738798980178
0.01121881998094094,0.011044380137341709,0.008380971442152534,0.011246916822695378,0.011387289564489988,0.011587662163611021,0.004037171212535172,0.00946782738920796,0.0026849883002422106,0.01318197252299761,0.01027171424851206
0.001370550288310344,0.0028966435504674654,0.0012008556096218556,0.0010377036882870511,0.0010297125790766977,0.0013965950109002538,0.002478790480820066,0.001156228020176028,0.0011138388486726354,0.0016136689028320701,0.001974118052259525
0.0011431477928202955,0.0008295286794538807,0.0006004278048109278,0.0012473860283030273,0.0012790737569927327,0.0014300998892105357,0.0006301648860487314,0.0015679232264129122,0.00035393649954748157,0.0011528641823723446,0.0008358499838290329
0.0014796995278775866,0.0033880069214461046,0.0017720959516989187,0.0011630847718249236,0.0011332556726094004,0.0021063400164397267,0.001674762534994376,0.002326441563585439,0.0009755503130660759,0.0016825162712563,0.0018533608309776925
0.01709378027456526,0.018609681693961103,0.015344266122945932,0.017111208153820005,0.0171977521958488,0.015255329509309887,0.016581568386728217,0.021143258936247487,0.0029574577911897883,0.01708992563047503,0.011728151343450337
0.003454083596640618,0.0055737267440752235,0.002885389173119181,0.003356085586996658,0.0033791400899252366,0.0041350603981273005,0.004042848373670746,0.004972444418320167,0.0013055259277312329,0.004209660026075484,0.0032782960421033173
